date,visitors,page_views,bounce_rate,avg_session_min
2024-03-13,1517,5465,0.495,3.6
2024-03-14,1518,5740,0.294,4.9
2024-03-15,1545,4263,0.599,2.8
2024-03-16,1391,4827,0.29,5.2
2024-03-17,1422,5050,0.531,3.2
2024-03-18,1383,4470,0.492,2.0
2024-03-19,1654,5760,0.606,2.0
2024-03-20,1613,6616,0.274,5.1
2024-03-21,1636,5297,0.533,6.9
2024-03-22,1401,4247,0.266,2.0
2024-03-23,1291,5707,0.289,6.2
2024-03-24,1568,5587,0.326,4.9
2024-03-25,1508,4309,0.55,4.2
2024-03-26,1740,4717,0.505,3.8
2024-03-27,1545,6590,0.317,2.7
2024-03-28,1612,5324,0.385,2.5
2024-03-28,1540,4935,0.376,7.9
2024-03-28,1375,4330,0.399,6.5
2024-04-01,1290,4794,0.475,2.9
2024-04-02,1581,6373,0.62,3.2
2024-04-03,1731,5702,0.541,7.9
2024-04-04,1657,6116,0.457,8.0
2024-04-05,1578,4645,0.592,1.6
2024-04-06,1535,6360,0.526,3.3
2024-04-07,1296,5639,0.312,1.7
2024-04-08,1390,4463,0.305,3.9
2024-04-09,1492,6150,0.287,4.1
2024-04-10,1633,7080,0.544,6.2
2024-04-11,1705,7078,0.526,5.2
2024-04-12,1565,6753,0.488,3.5
2024-04-13,1472,3911,0.272,6.5
2024-04-14,1301,4157,0.577,4.2
2024-04-15,1544,4560,0.511,5.4
2024-04-16,1434,3617,0.561,4.0
2024-04-17,1664,5956,0.31,4.8
2024-04-18,1724,5071,0.27,6.3
2024-04-19,1554,5734,0.452,2.9
2024-04-20,1547,4764,0.408,2.4
2024-04-21,1503,3905,0.41,2.1
2024-04-22,1494,5234,0.56,2.3
2024-04-23,1628,5658,0.511,2.8
2024-04-24,1755,6549,0.544,3.1
2024-04-25,1833,5768,0.62,2.1
2024-04-26,1688,6487,0.419,3.8
2024-04-27,1451,3697,0.372,7.9
2024-04-28,1514,5650,0.646,4.4
2024-04-28,1461,6043,0.33,3.9
2024-04-28,1583,6356,0.591,2.2
2024-05-01,1865,8119,0.598,6.8
2024-05-02,1775,4486,0.528,2.2
2024-05-03,1612,4703,0.465,2.8
2024-05-04,1504,5333,0.353,4.6
2024-05-05,1411,5499,0.257,5.3
2024-05-06,1402,5365,0.267,2.6
2024-05-07,1532,5723,0.271,5.8
2024-05-08,1817,4572,0.405,3.3
2024-05-09,1778,7518,0.258,7.1
2024-05-10,1532,5819,0.342,4.0
2024-05-11,1531,4793,0.597,5.0
2024-05-12,1408,4044,0.45,4.5
2024-05-13,1456,4360,0.462,3.7
2024-05-14,1550,5094,0.313,3.8
2024-05-15,1607,4776,0.641,4.8
2024-05-16,1792,7389,0.5,7.2
2024-05-17,1733,4434,0.472,3.3
2024-05-18,1395,3910,0.609,5.8
2024-05-19,1473,6512,0.495,5.6
2024-05-20,1475,4358,0.346,2.5
2024-05-21,1722,5439,0.467,2.8
2024-05-22,1634,4537,0.467,6.7
2024-05-23,1738,6796,0.46,2.4
2024-05-24,1558,6997,0.64,2.4
2024-05-25,1642,5147,0.473,7.7
2024-05-26,1323,3620,0.377,7.2
2024-05-27,1404,5981,0.416,4.2
2024-05-28,1404,4753,0.624,7.3
2024-05-28,1713,6951,0.293,2.7
2024-05-28,1656,6665,0.495,3.2
2024-06-01,1546,4582,0.525,3.8
2024-06-02,1443,5593,0.441,4.8
2024-06-03,1284,4170,0.591,4.7
2024-06-04,1333,3699,0.327,1.7
2024-06-05,1527,4641,0.415,6.3
2024-06-06,1627,7283,0.553,1.9
2024-06-07,1877,7947,0.446,3.6
2024-06-08,1482,5061,0.349,4.1
2024-06-09,1578,5145,0.375,5.5
2024-06-10,1403,5590,0.488,4.9
2024-06-11,1495,5294,0.431,6.9
2024-06-12,1412,3649,0.648,4.9
2024-06-13,1522,5502,0.456,5.6
2024-06-14,1732,4500,0.366,4.1
2024-06-15,1518,5195,0.419,5.5
2024-06-16,1577,4114,0.457,2.4
2024-06-17,1395,5503,0.295,6.6
2024-06-18,1302,5697,0.528,2.4
2024-06-19,1419,4055,0.486,6.1
2024-06-20,1654,4802,0.432,3.1
2024-06-21,1572,6434,0.537,2.3
2024-06-22,1388,3786,0.43,3.9
2024-06-23,1340,5470,0.455,7.7
2024-06-24,1323,4309,0.402,6.5
2024-06-25,1449,5533,0.31,7.1
2024-06-26,1422,4063,0.535,4.2
2024-06-27,1540,5224,0.501,2.3
2024-06-28,1744,4818,0.331,5.5
2024-06-28,1531,6446,0.467,1.5
2024-06-28,1489,6351,0.345,5.3
2024-07-01,1235,3283,0.49,3.1
2024-07-02,1355,4870,0.498,5.1
2024-07-03,1469,4108,0.511,1.7
2024-07-04,1549,6517,0.517,6.9
2024-07-05,1544,4011,0.417,2.7
2024-07-06,1686,6481,0.494,6.0
2024-07-07,1265,3611,0.432,5.3
2024-07-08,1218,5314,0.287,3.4
2024-07-09,1271,3349,0.421,5.1
2024-07-10,1496,4616,0.304,6.0
2024-07-11,1538,5458,0.528,5.5
2024-07-12,1676,4556,0.542,5.6
2024-07-13,1587,6153,0.624,7.9
2024-07-14,1356,4168,0.494,3.6
2024-07-15,1022,3278,0.302,5.2
2024-07-16,1264,4473,0.503,4.7
2024-07-17,1467,5746,0.642,1.5
2024-07-18,1634,4163,0.5,2.3
2024-07-19,1645,7399,0.416,3.7
2024-07-20,1361,4927,0.505,1.6
2024-07-21,1365,5569,0.373,4.8
2024-07-22,1324,4167,0.252,6.0
2024-07-23,1219,4549,0.262,2.6
2024-07-24,1511,4776,0.385,5.9
2024-07-25,1642,6225,0.443,5.6
2024-07-26,1473,6310,0.465,3.7
2024-07-27,1479,5894,0.584,3.4
2024-07-28,1248,4929,0.376,5.0
2024-07-28,1277,5234,0.605,3.8
2024-07-28,1390,6170,0.362,1.7
2024-08-01,1499,6273,0.478,4.0
2024-08-02,1491,5502,0.596,6.4
2024-08-03,1511,3873,0.416,4.7
2024-08-04,1380,4105,0.431,7.7
2024-08-05,1329,3620,0.564,6.6
2024-08-06,1298,5616,0.428,1.7
2024-08-07,1165,3355,0.619,6.3
2024-08-08,1384,4909,0.56,2.4
2024-08-09,1593,6971,0.521,2.4
2024-08-10,1410,5568,0.434,6.1
2024-08-11,1427,6228,0.525,5.4
2024-08-12,1301,3479,0.437,1.8
2024-08-13,1103,3446,0.481,3.5
2024-08-14,1232,5278,0.378,2.8
2024-08-15,1351,4569,0.297,2.5
2024-08-16,1548,4717,0.256,5.5
2024-08-17,1452,4647,0.377,2.4
2024-08-18,1419,5546,0.363,3.1
2024-08-19,1392,4423,0.427,2.3
2024-08-20,1258,4329,0.52,2.2
2024-08-21,1318,3766,0.488,5.4
2024-08-22,1383,5770,0.53,5.5
2024-08-23,1415,5555,0.518,5.0
2024-08-24,1635,7271,0.552,4.5
2024-08-25,1516,6578,0.437,4.5
2024-08-26,1394,5393,0.534,4.5
2024-08-27,1211,5113,0.497,7.4
2024-08-28,1289,4233,0.53,5.8
2024-08-28,1389,4731,0.262,4.6
2024-08-28,1306,4182,0.434,2.6
2024-09-01,1507,4151,0.291,6.8
2024-09-02,1305,5342,0.38,5.7
2024-09-03,1309,4321,0.415,5.5
2024-09-04,1107,3980,0.64,4.0
2024-09-05,1152,4241,0.564,4.3
2024-09-06,1472,5997,0.468,3.0
2024-09-07,1449,6320,0.48,4.7
2024-09-08,1467,5404,0.435,5.1
2024-09-09,1435,6330,0.278,2.2
2024-09-10,1239,5114,0.559,4.0
2024-09-11,1086,2911,0.577,7.3
2024-09-12,1237,5327,0.504,1.5
2024-09-13,1378,4909,0.406,5.3
2024-09-14,1504,4348,0.523,3.6
2024-09-15,1338,4159,0.627,4.3
2024-09-16,1342,5992,0.388,2.1
2024-09-17,1523,5038,0.301,3.4
2024-09-18,1220,3950,0.47,1.8
2024-09-19,1195,3846,0.594,7.1
2024-09-20,1215,3609,0.531,4.1
2024-09-21,1443,4708,0.468,5.8
2024-09-22,1577,5440,0.325,4.0
2024-09-23,1562,4386,0.649,5.9
2024-09-24,1227,3397,0.279,1.6
2024-09-25,1201,4051,0.646,2.1
2024-09-26,1157,4378,0.416,4.5
2024-09-27,1394,4671,0.322,4.8
2024-09-28,1381,4977,0.43,3.8
2024-09-28,1560,5703,0.589,3.0
2024-09-28,1538,5388,0.414,5.1
2024-10-01,1162,4225,0.532,2.2
2024-10-02,1395,4830,0.526,2.4
2024-10-03,1235,5517,0.562,4.5
2024-10-04,1154,3065,0.606,2.1
2024-10-05,1372,6065,0.281,5.6
2024-10-06,1556,6373,0.375,1.8
2024-10-07,1378,4737,0.455,4.6
2024-10-08,1443,5725,0.418,7.7
2024-10-09,1269,3262,0.619,6.4
2024-10-10,1218,4815,0.475,1.9
2024-10-11,1353,3522,0.646,6.8
2024-10-12,1530,5735,0.365,2.0
2024-10-13,1398,4271,0.303,3.3
2024-10-14,1470,6197,0.256,2.2
2024-10-15,1398,3917,0.429,6.8
2024-10-16,1367,4131,0.53,4.7
2024-10-17,1352,4307,0.284,2.4
2024-10-18,1273,5560,0.312,4.7
2024-10-19,1683,5008,0.426,5.6
2024-10-20,1573,4595,0.544,3.7
2024-10-21,1417,3871,0.317,4.1
2024-10-22,1270,3940,0.548,6.4
2024-10-23,1221,4775,0.44,2.4
2024-10-24,1315,5576,0.255,7.5
2024-10-25,1338,5918,0.523,1.8
2024-10-26,1612,6988,0.505,7.7
2024-10-27,1445,6093,0.384,3.2
2024-10-28,1605,4327,0.512,4.0
2024-10-28,1424,5651,0.485,2.8
2024-10-28,1197,3800,0.526,2.7
2024-11-01,1248,5195,0.255,2.1
2024-11-02,1449,3923,0.428,2.9
2024-11-03,1596,4065,0.287,7.6
2024-11-04,1692,6451,0.584,7.7
2024-11-05,1483,4063,0.593,2.3
2024-11-06,1344,5124,0.61,5.2
2024-11-07,1530,5953,0.351,4.5
2024-11-08,1363,5959,0.506,7.5
2024-11-09,1506,6486,0.558,3.6
2024-11-10,1726,4874,0.28,6.6
2024-11-11,1624,4255,0.632,3.2
2024-11-12,1650,5578,0.447,7.5
2024-11-13,1439,5013,0.308,6.5
2024-11-14,1370,4023,0.507,7.4
2024-11-15,1428,3778,0.479,3.1
2024-11-16,1523,5165,0.609,2.5
2024-11-17,1564,5988,0.357,6.1
2024-11-18,1574,6782,0.48,4.8
2024-11-19,1729,5830,0.588,6.6
2024-11-20,1484,6041,0.466,1.5
2024-11-21,1585,5490,0.477,7.6
2024-11-22,1437,4624,0.523,4.1
2024-11-23,1466,3930,0.464,7.7
2024-11-24,1577,4196,0.434,6.5
2024-11-25,1731,4463,0.404,2.7
2024-11-26,1647,6409,0.609,5.6
2024-11-27,1541,5802,0.544,2.4
2024-11-28,1514,4369,0.538,5.4
2024-11-28,1495,5353,0.373,5.0
2024-11-28,1650,6878,0.43,8.0
2024-12-01,1798,7327,0.267,2.3
2024-12-02,1814,7463,0.517,4.5
2024-12-03,1662,4650,0.482,7.5
2024-12-04,1463,3765,0.307,5.7
2024-12-05,1360,3524,0.531,2.3
2024-12-06,1604,4562,0.27,3.5
2024-12-07,1720,4887,0.486,6.8
2024-12-08,1735,4706,0.449,6.7
2024-12-09,1883,6312,0.575,7.9
2024-12-10,1924,7420,0.38,7.8
2024-12-11,1621,6764,0.567,6.5
2024-12-12,1565,5768,0.384,2.3
2024-12-13,1674,6516,0.471,4.4
2024-12-14,1810,7875,0.266,2.1
2024-12-15,1934,7842,0.256,4.7
2024-12-16,1817,4565,0.322,2.1
2024-12-17,1737,5788,0.573,6.5
2024-12-18,1574,6114,0.332,5.7
2024-12-19,1555,6804,0.494,1.7
2024-12-20,1661,4750,0.45,7.7
2024-12-21,1700,5432,0.252,3.0
2024-12-22,1822,4983,0.462,2.1
2024-12-23,1872,6700,0.338,6.5
2024-12-24,1989,7595,0.361,2.8
2024-12-25,1798,7977,0.44,2.6
2024-12-26,1573,6040,0.267,5.7
2024-12-27,1707,5408,0.572,6.4
2024-12-28,1934,5002,0.546,7.5
2024-12-28,2039,7075,0.296,7.3
2024-12-28,2138,8429,0.487,3.6
2024-12-01,1977,6230,0.562,3.6
2024-12-02,1930,5203,0.545,7.2
2024-12-03,1703,5861,0.444,7.3
2024-12-04,1819,5074,0.621,4.5
2024-12-05,1871,7371,0.503,7.8
2025-01-01,2057,5974,0.301,6.0
2025-01-02,2106,8852,0.433,2.6
2025-01-03,2008,6399,0.605,5.4
2025-01-04,1898,7066,0.318,7.8
2025-01-05,1686,7098,0.285,7.1
2025-01-06,1570,5782,0.585,3.3
2025-01-07,1976,7825,0.544,3.1
2025-01-08,2034,8712,0.487,2.5
2025-01-09,2213,8071,0.252,7.9
2025-01-10,2133,8611,0.263,5.0
2025-01-11,1946,6730,0.569,6.8
2025-01-12,1793,6485,0.255,6.3
2025-01-13,1904,8377,0.303,3.4
2025-01-14,1990,6884,0.372,6.1
2025-01-15,2108,8886,0.549,1.7
2025-01-16,2040,8666,0.412,6.6
2025-01-17,2137,6925,0.436,5.6
2025-01-18,1996,8556,0.383,1.7
2025-01-19,1879,6298,0.358,7.6
2025-01-20,1801,7339,0.282,7.2
2025-01-21,2026,8046,0.272,7.6
2025-01-22,2112,5748,0.396,5.5
2025-01-23,2075,6704,0.32,5.1
2025-01-24,2265,6589,0.643,3.1
2025-01-25,2079,5669,0.441,7.6
2025-01-26,1776,5185,0.548,3.0
2025-01-27,1892,6064,0.357,5.9
2025-01-28,2109,6728,0.444,4.9
2025-01-28,2267,6223,0.534,5.9
2025-01-28,2209,8265,0.57,7.6
2025-02-01,2187,9005,0.626,1.9
2025-02-02,2146,5709,0.609,3.4
2025-02-03,1947,8592,0.294,3.3
2025-02-04,2008,8533,0.458,5.6
2025-02-05,2074,6401,0.638,5.0
2025-02-06,2337,7917,0.508,3.4
2025-02-07,2377,6241,0.599,3.0
2025-02-08,2357,7833,0.387,5.7
2025-02-09,2087,6579,0.487,6.0
2025-02-10,2097,6517,0.303,6.6
2025-02-11,2013,5723,0.354,4.6
2025-02-12,2344,6081,0.391,4.5
2025-02-13,2308,6537,0.62,6.1
2025-02-14,2321,9698,0.527,5.8
2025-02-15,2503,7025,0.345,1.8
2025-02-16,2152,6500,0.324,5.2
2025-02-17,2132,5477,0.377,3.7
2025-02-18,2060,5819,0.371,7.5
2025-02-19,2324,7690,0.45,2.4
2025-02-20,2308,5789,0.545,7.8
2025-02-21,2429,7681,0.532,4.6
2025-02-22,2288,10207,0.479,2.5
2025-02-23,2397,8702,0.613,4.4
2025-02-24,2087,8974,0.306,5.1
2025-02-25,2050,6388,0.411,7.0
2025-02-26,2260,5898,0.507,5.3
2025-02-27,2427,7145,0.624,3.3
2025-02-28,2549,8643,0.519,2.1
2025-02-28,2388,8414,0.328,3.6
2025-02-28,2098,9056,0.394,2.5
2025-03-01,2056,8650,0.398,3.9
2025-03-02,2191,9761,0.6,2.1
2025-03-03,2402,9501,0.428,8.0
2025-03-04,2474,10171,0.638,4.3
2025-03-05,2424,10405,0.306,5.3
2025-03-06,2456,8471,0.597,7.9
2025-03-07,2312,6085,0.634,6.4
2025-03-08,2277,9856,0.416,5.1
2025-03-09,2284,8954,0.552,2.4
2025-03-10,2393,8633,0.267,6.9
2025-03-11,2557,10660,0.372,5.1
2025-03-12,2500,6262,0.355,7.7
2025-03-13,2445,10191,0.439,5.7
2025-03-14,2380,8291,0.525,3.1
2025-03-15,2186,5986,0.361,8.0
2025-03-16,2391,8756,0.476,7.1
2025-03-17,2446,9187,0.44,6.0
2025-03-18,2583,9429,0.588,2.6
2025-03-19,2611,6833,0.378,7.2
2025-03-20,2499,7610,0.418,7.4
2025-03-21,2377,7634,0.366,4.9
2025-03-22,2352,9485,0.323,2.1
2025-03-23,2259,9047,0.467,7.2
2025-03-24,2473,7671,0.524,6.0
2025-03-25,2429,6538,0.482,6.9
2025-03-26,2665,8650,0.444,3.7
2025-03-27,2499,10799,0.291,2.5
2025-03-28,2373,10189,0.495,6.9
2025-03-28,2336,8295,0.463,5.1
2025-03-28,2319,7933,0.281,6.8
2025-04-01,2398,10423,0.442,3.5
2025-04-02,2461,10531,0.489,6.5
2025-04-03,2700,8597,0.534,1.7
2025-04-04,2532,10668,0.307,3.0
2025-04-05,2329,6406,0.302,2.0
2025-04-06,2252,5980,0.56,6.4
2025-04-07,2203,5694,0.293,6.7
2025-04-08,2425,6639,0.351,1.9
2025-04-09,2570,9856,0.552,6.6
2025-04-10,2651,11405,0.324,3.8
2025-04-11,2498,6698,0.588,7.6
2025-04-12,2465,6954,0.45,6.2
2025-04-13,2292,6838,0.478,2.1
2025-04-14,2334,6847,0.327,3.3
2025-04-15,2458,10577,0.465,7.8
2025-04-16,2629,9223,0.533,3.9
2025-04-17,2646,9734,0.426,7.7
2025-04-18,2565,8359,0.336,3.0
2025-04-19,2472,6737,0.644,2.3
2025-04-20,2358,9489,0.532,5.1
2025-04-21,2382,6148,0.381,2.3
2025-04-22,2450,7653,0.64,4.4
2025-04-23,2696,9726,0.366,7.1
2025-04-24,2631,11003,0.44,5.9
2025-04-25,2568,7340,0.649,4.7
2025-04-26,2478,9458,0.284,2.4
2025-04-27,2382,7863,0.486,2.2
2025-04-28,2555,6718,0.64,3.7
2025-04-28,2376,8767,0.646,2.3
2025-04-28,2661,8134,0.535,5.3
2025-05-01,2513,7654,0.566,5.7
2025-05-02,2467,9143,0.412,4.6
2025-05-03,2464,7534,0.557,2.2
2025-05-04,2329,8749,0.304,2.1
2025-05-05,2452,6389,0.277,5.9
2025-05-06,2553,9850,0.311,5.5
2025-05-07,2578,6941,0.281,6.4
2025-05-08,2636,7654,0.515,4.7
2025-05-09,2398,7249,0.387,7.1
2025-05-10,2219,5687,0.422,7.4
2025-05-11,2269,7413,0.376,3.9
2025-05-12,2335,8437,0.594,3.5
2025-05-13,2476,9686,0.447,2.4
2025-05-14,2568,6981,0.52,5.8
2025-05-15,2525,9773,0.479,4.6
2025-05-16,2591,8505,0.448,7.8
2025-05-17,2327,8688,0.391,7.9
2025-05-18,2312,5988,0.585,3.8
2025-05-19,2365,9422,0.261,7.3
2025-05-20,2444,7797,0.393,3.8
2025-05-21,2610,9976,0.349,5.7
2025-05-22,2460,6472,0.372,3.7
2025-05-23,2428,6165,0.38,4.5
2025-05-24,2461,10589,0.357,6.0
2025-05-25,2232,8204,0.644,4.0
2025-05-26,2257,9291,0.29,5.9
2025-05-27,2520,7993,0.451,6.5
2025-05-28,2510,8098,0.424,4.7
2025-05-28,2690,11283,0.565,7.0
2025-05-28,2449,6355,0.648,4.1
2025-06-01,2366,6983,0.547,2.1
2025-06-02,2318,7356,0.277,6.7
2025-06-03,2295,7918,0.334,6.7
2025-06-04,2401,9863,0.423,5.0
2025-06-05,2500,7250,0.411,5.6
2025-06-06,2452,7015,0.257,6.1
2025-06-07,2539,10728,0.481,2.9
2025-06-08,2495,8569,0.625,5.0
2025-06-09,2253,8401,0.558,4.3
2025-06-10,2208,7826,0.396,2.5
2025-06-11,2380,6666,0.524,3.5
2025-06-12,2476,10301,0.276,2.8
2025-06-13,2595,8628,0.579,5.7
2025-06-14,2479,8209,0.295,2.7
2025-06-15,2459,7355,0.581,4.5
2025-06-16,2188,8300,0.265,2.5
2025-06-17,2262,6272,0.353,6.7
2025-06-18,2382,10016,0.636,4.7
2025-06-19,2482,6303,0.594,2.0
2025-06-20,2421,10413,0.413,3.9
2025-06-21,2370,9041,0.286,7.6
2025-06-22,2326,6335,0.544,7.6
2025-06-23,2206,7817,0.582,7.7
2025-06-24,2331,9951,0.345,2.3
2025-06-25,2365,9728,0.382,5.3
2025-06-26,2403,7141,0.419,2.4
2025-06-27,2616,7456,0.638,4.4
2025-06-28,2445,8510,0.4,7.7
2025-06-28,2422,7588,0.42,5.9
2025-06-28,2392,10462,0.395,6.2
2025-07-01,2220,9196,0.258,7.8
2025-07-02,2251,8608,0.626,6.0
2025-07-03,2392,9753,0.346,5.1
2025-07-04,2440,7870,0.575,2.3
2025-07-05,2617,11080,0.593,4.0
2025-07-06,2364,10533,0.352,2.1
2025-07-07,2170,8995,0.344,2.9
2025-07-08,2376,8940,0.602,6.5
2025-07-09,2240,7420,0.264,7.1
2025-07-10,2553,8787,0.415,7.0
2025-07-11,2324,9144,0.601,6.8
2025-07-12,2467,8665,0.391,5.4
2025-07-13,2167,8942,0.545,4.4
2025-07-14,2220,8398,0.502,6.6
2025-07-15,2225,6168,0.41,5.6
2025-07-16,2323,6540,0.457,7.8
2025-07-17,2481,10324,0.555,7.0
2025-07-18,2421,7599,0.441,6.3
2025-07-19,2262,6834,0.525,6.9
2025-07-20,2277,7580,0.323,7.2
2025-07-21,2126,9332,0.604,3.0
2025-07-22,2375,9011,0.501,7.4
2025-07-23,2260,10053,0.329,6.1
2025-07-24,2473,8303,0.354,2.1
2025-07-25,2530,8186,0.629,2.3
2025-07-26,2360,10242,0.431,5.9
2025-07-27,2160,5911,0.535,2.7
2025-07-28,2251,6923,0.448,2.3
2025-07-28,2081,8766,0.49,8.0
2025-07-28,2278,7600,0.413,2.4
2025-08-01,2535,7808,0.355,5.5
2025-08-02,2509,9706,0.433,1.6
2025-08-03,2319,6415,0.379,6.0
2025-08-04,2180,8538,0.544,3.2
2025-08-05,2029,5459,0.274,3.7
2025-08-06,2190,9840,0.626,7.8
2025-08-07,2462,9100,0.549,1.8
2025-08-08,2401,7455,0.408,3.9
2025-08-09,2542,11276,0.474,5.3
2025-08-10,2342,10212,0.601,2.4
2025-08-11,2311,7244,0.462,2.4
2025-08-12,2152,5930,0.599,6.9
2025-08-13,2177,8698,0.62,3.3
2025-08-14,2356,9478,0.356,3.5
2025-08-15,2316,9924,0.376,8.0
2025-08-16,2424,10195,0.513,6.7
2025-08-17,2292,5973,0.309,3.0
2025-08-18,2267,8868,0.425,8.0
2025-08-19,2138,9309,0.266,3.8
2025-08-20,2128,7418,0.588,7.1
2025-08-21,2179,5986,0.287,7.1
2025-08-22,2405,8459,0.359,7.3
2025-08-23,2456,9016,0.483,7.8
2025-08-24,2228,7425,0.281,6.5
2025-08-25,2183,8412,0.605,1.7
2025-08-26,2067,6796,0.486,7.7
2025-08-27,2036,8498,0.312,2.0
2025-08-28,2320,7906,0.632,5.4
2025-08-28,2277,5718,0.638,5.8
2025-08-28,2475,9808,0.544,7.7
2025-09-01,2305,8386,0.335,1.8
2025-09-02,2152,5619,0.278,7.7
2025-09-03,2059,6718,0.41,2.7
2025-09-04,2300,6160,0.591,2.6
2025-09-05,2226,9035,0.364,6.4
2025-09-06,2355,8199,0.423,6.7
2025-09-07,2373,7404,0.524,2.4
2025-09-08,2249,7928,0.446,7.3
2025-09-09,2066,7133,0.475,4.2
2025-09-10,2121,7906,0.424,4.3
2025-09-11,1999,5159,0.387,4.5
2025-09-12,2282,6412,0.448,5.6
2025-09-13,2500,8873,0.366,4.3
2025-09-14,2486,6953,0.301,7.4
2025-09-15,2279,9533,0.459,3.4
2025-09-16,2230,5776,0.293,4.3
2025-09-17,2129,5724,0.514,5.2
2025-09-18,2148,5721,0.451,2.2
2025-09-19,2329,8904,0.322,2.7
2025-09-20,2360,10038,0.369,5.3
2025-09-21,2437,8310,0.518,5.6
2025-09-22,2317,9830,0.325,2.7
2025-09-23,2416,9649,0.492,7.2
2025-09-24,2206,5540,0.297,2.6
2025-09-25,2220,7668,0.527,7.1
2025-09-26,2384,8280,0.497,7.8
2025-09-27,2374,7647,0.52,6.0
2025-09-28,2374,6528,0.256,2.2
2025-09-28,2390,6050,0.638,7.1
2025-09-28,2250,8548,0.424,5.6
2025-10-01,2253,9192,0.326,3.5
2025-10-02,2084,5300,0.316,2.5
2025-10-03,2313,9032,0.636,4.6
2025-10-04,2479,7195,0.478,6.9
2025-10-05,2361,6142,0.253,5.6
2025-10-06,2313,9708,0.545,5.4
2025-10-07,2020,7289,0.366,4.7
2025-10-08,2052,7639,0.521,6.8
2025-10-09,2200,7646,0.536,4.9
2025-10-10,2249,5908,0.607,4.2
2025-10-11,2464,8492,0.448,7.6
2025-10-12,2392,6079,0.365,2.7
2025-10-13,2487,7927,0.343,2.9
2025-10-14,2319,8590,0.587,5.8
2025-10-15,2141,5914,0.367,6.1
2025-10-16,2359,9073,0.544,6.7
2025-10-17,2296,9412,0.588,5.5
2025-10-18,2428,9309,0.302,2.8
2025-10-19,2618,9716,0.29,4.2
2025-10-20,2478,7232,0.269,1.6
2025-10-21,2281,9721,0.393,2.5
2025-10-22,2286,5861,0.275,4.3
2025-10-23,2090,7806,0.298,3.0
2025-10-24,2357,7567,0.269,7.2
2025-10-25,2555,7754,0.31,6.0
2025-10-26,2397,9379,0.621,4.3
2025-10-27,2427,8286,0.587,2.2
2025-10-28,2400,9754,0.629,6.9
2025-10-28,2304,5953,0.292,5.6
